Pinnacle Properties,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
85-05,Elmhurst Avenue,Queens,11373,1518,50,85-05 Elmhurst LLC,,0,,1940,Building,Rental,Tal Sharon,Pinnacle Queens LLC,404,4,,,,,
85-50,Forest Parkway,Queens,11421,8847,214,Forest Park Realty Co. LLC,,,,1929,Building,Rental,Tal Sharon,Zarasai,409,9,,,,,
85,Clarkson Avenue,Brooklyn,11226,5055,65,85 Clarkson LLC,,,,1931,Building,Rental,Marc Bahorin,Zarasai,309,9,,,,,
63-90/94,Austin Street,Queens,11374,3104,23,63-94 Austin Realty Co. LLC,Garage,18,,1950,Building,Rental,Tal Sharon,Zarasai,406,6,,Issued,Approved,,"Inspection done, Initial observation to be submitted"
69,Bennett Ave,New York,10033,2180,7501,The 69 Bennett Avenue Condo,Garage,28,,1954,Building,Coop,Abidin Radoncic,Zarasai,112,2,646-529-3640,Not assigned,Approved,,Inspection to be scheduled
87,Ellwood Street,New York,10040,2174,115,87 Realty NY LLC,,,,1929,Building,Rental,Rasim Toskic,Zarasai,112,2,,,,,
775,Riverside Drive,New York,10031,2134,7504,The John James Condominium,Garage,55,,1931,Building,Coop,Abidin Radoncic,Zarasai,112,2,,,,,
877,69th Street,Brooklyn,11220,5770,45,877/880 Owners Corp.,Lot,,,1963,"Building
Shares",Coop,Eddie Lejesnjanin ,,310,0,,,,,
880,68th Street,Brooklyn,11220,5770,36,877/880 Owners Corp.,Lot,,,1963,"Building
Shares",Coop,Eddie Lejesnjanin ,,310,0,,,,,
8814,Bay Parkway,Brooklyn,11214,,1,8814 Bay Parkway Owners Corp.,,,,,Shares,Coop,David Rose,,,,,,,,
902,44th Street,Brooklyn,11219,5607,3,902 44th Street Realty LLC,,,,1925,Building,Rental,Ilir,Zarasai,312,2,,,,,
815,Gravesend Neck Road,Brooklyn,11223,7159,146,Treger Management. LLC,Garage,40,,1959,Building,Rental,Marc Bahorin,Zarasai,315,5,,Not assigned,Approved,Approved,Inspection to be scheduled
915,Washington Avenue,Brooklyn,11225,1190,9,915 Realty LLC,,0,,1930,Building,Rental,Eddie Lejesnjanin ,Zarasai,309,9,,,,,
916,Carroll Street,Brooklyn,11225,1189,17,916 Carroll St LLC,,0,,1928,Building,Rental,Ilir,Zarasai,309,9,,,,,
932,Carroll Street,Brooklyn,11225,1189,20,932 Carroll LLC,,,,1928,Building,Rental,Ilir,Zarasai,309,9,,,,,
938,54th Street,Brooklyn,11219,5673,20,938 54 Street Realty Co LLC,,,,1927,Building,Rental,Ilir,Zarasai,312,2,,,,,
85-05,35th Avenue,Queens,11372,1446,33,85-05 35 Avenue Realty Co. LLC,Garage,30,,1951,Building,Rental,Tal Sharon,Zarasai,403,3,,,,,
94-06,34th Road,Queens,11372,1455,55,94-06 34th Road Realty Co. LLC,,0,,1928,Building,Rental,Tal Sharon,Zarasai,403,3,,,,,
86-06,35th Avenue,Queens,11372,1460,1,86-06 35 Avenue Realty Co. LLC,Garage,29,,1956,Building,Rental,Tal Sharon,Zarasai,403,3,,,,,
961,Washington Avenue,Brooklyn,11225,1192,14,The Crown @ 961 Condominium,,0,,1925,Building,Coop,Eddie Lejesnjanin ,Zarasai,309,9,,,,,
988-990,Montgomery Street,Brooklyn,11213,1424,33,990 Realty NY LLC,,0,,1927,Building,Rental,Ilir,Neiss,309,9,,,,,
99-05,63rd Drive,Queens,11374,2111,7501,Anita Terrace Owners Corp,Garage,,,1950,"Building
Shares",Coop,Paul Reich,Zarasai,406,6,,,,,
991,Carroll Street,Brooklyn,11225,1280,58,991 Carroll St LLC,,0,,1925,Building,Rental,Ilir,Zarasai,309,9,,,,,
99-40,63rd Road,Queens,11374,2111,7501,Anita Terrace Owners Corp,,,,1950,"Building
Shares",Coop,Paul Reich,Zarasai,406,6,,,,,
99-60,63rd Road,Queens,11374,2111,7501,Anita Terrace Owners Corp,,,,1950,"Building
Shares",Coop,Paul Reich,Zarasai,406,6,,,,,
323,West 96 Street,New York,10025,1887,3,Hudson Park NY LLC,,0,,2004,Building,Rental,Darren Landy,Zarasai,107,7,,,,,
5,West 91st Street,New York,10024,1205,22,"5-15 W 91 LLC
",,0,,1972,Building,Rental,Abidin Radoncic,,107,7,,,,,
86-20,Park Lane South,Queens,11421,8865,9,Park Lane South Realty Co LLC,Garage,22,,1952,Building,Rental,Tal Sharon,Zarasai,409,9,,,,,
87-50,Kingston Place,Queens,11432,9844,110,Kingston Place Realty Co. LLC,Garage,20,,1955,Building,Rental,Elinor Arzt,Zarasai,408,8,,,,,
41-60,Bowne St,Queens,11355,5181,7502,INFINITY 8 ON BOWNE CONDOMINIUM,,,,1921,Building,Coop,Tal Sharon,Zarasai,407,7,,,,,
58,Elizabeth Street,New York,10013,203,15,58 Elizabeth NY LLC,,0,,1900,Building,Rental,David Rose,Zarasai,102,2,,,,,
146,Hester Street,New York,10013,203,15,58 Elizabeth NY LLC,,0,,1900,Building,Rental,David Rose,Zarasai,102,2,,,,,
910,Thieriot Avenue,Bronx,10473,3668,1,Underhill Realty Co. LLC,Lot,209,,1965,Building,Rental,Abidin Radoncic,Zarasai,209,9,,,,,
220,25th Street,Brooklyn,11232,655,15,220 25th Realty LLC,,,,1931,Building,Rental,David Rose,Zarasai,307,7,,,,,
94-06,34th Avenue,Queens,11372,1455,1,94-06 34th Avenue Realty Co. LLC,Garage,17,,1959,Building,Rental,Tal Sharon,Zarasai,403,3,,,,,
945,Underhill Avenue,Bronx,10473,3668,1,Underhill Realty Co. LLC,Lot,146,,1963,Building,Rental,Abidin Radoncic,Zarasai,209,9,,,,,
885,10th Ave,New York,10119,1086,34,885-889 10th Avenue LLC,,,,1945,Building,Rental,Abidin Radoncic,,104,4,,,,,
97-25,64th Ave,Queens,11374,2090,47,The Mirella Condominium,,,,1950,"Building
Shares",Coop,Tal Sharon,Zarasai,406,6,,,,,
42-22,Ketcham,Queens,11373,1508,11,Tova Realty Corp,,,,1926,Building,Coop,Tal Sharon,Zarasai,404,4,,,,,
493,9th Ave,New York,10018,735,31,Hudson Meyer LLC,,,,1900,Building,Rental,David Rose,Zarasai,104,4,,,,,
495,9th Ave,New York,10018,735,31,Hudson Meyer LLC,,,,1900,Building,Rental,David Rose,Zarasai,104,4,,,,,
30,East 31 St,New York,10016,860,,30 East 31 Street Condo,,,,,,,,,,,,,,,
97-25,64th Ave,Queens,11374,2090,47,The Mirella Condominium,Garage,25,,1950,Building,Coop,Tal Sharon,,406,6,Rifat 646-988-9061,Assigned,Approved,Approved,Initial Inspection done
,,,,,,,,,,,,,,,,,,,,,
Koren ,,,,,,,,,,,,,,,,,,,,,
522,Lefferts Ave,Brooklyn,,,,,,,,,,,,,,,,Assigned,,Approved,Inspection done by Lina
497,St. Marks Ave,Brooklyn,,,,,,,,,,,,,,,,Assigned,,Approved,Inspection done by Lina
29,McDonough Street,Brooklyn,,,,,,,,,,,,,,,,Not Reqd.,,Approved,Inspection done by Lina
482,Franklin Ave,Brooklyn,,,,,,,,,,,,,,,,Assigned,,Approved,Inspection done by Lina
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
AA Properties,,,,,,,,,,,,,,,,,,,,,
1030,Ocean Ave,Brooklyn,,,,,,,,,,,,,,,,Assigned,,,
10,Stratford Road,Brooklyn,,,,,,,,,,,,,,,,Assigned,,,
1000,Gates Ave,Brooklyn,,,,,,,,,,,,,,,,Not Assigned,,,
3040,West 22nd Street,Brooklyn,,,,,,,,,,,,,,,,Not Assigned,,,
611,East76th Street,Brooklyn,,,,,,,,,,,,,,,,Not Assigned,,,
,,,,,,,,,,,,,,,,,,,,,
Goldfarb Properties,,,,,,,,,,,,,,,,,,,,,
1742,Morris Ave,Bronx,,,,,,,,,,,,,,,,Not assigned,,,
930,Sheridan Ave,Bronx,,,,,,,,,,,,,,,,Assigned,,,
1700,Grand concourse,Bronx,,,,,,,,,,,,,,,,Assigned,,,
1981,Sedgewick Ave,Bronx,,,,,,,,,,,,,,,,Assigned,,,
1130,Pelham Parkway,Bronx,,,,,,,,,,,,,,,,Assigned,,,
1135,Pelham Parkway,Bronx,,,,,,,,,,,,,,,,Assigned,,,
1540,Pelham Parkway,Bronx,,,,,,,,,,,,,,,,Assigned,,,
2160,Matthews Ave,Bronx,,,,,,,,,,,,,,,,Assigned,,,
2400,Webb Ave,Bronx,,,,,,,,,,,,,,,,Not assigned,,,
20-02,Seagirt Blvd,Queens,,,,,,,,,,,,,,,,Issued,Approved,,
20-21,Seagirt Blvd,Queens,,,,,,,,,,,,,,,,Not assigned,,,
20-24,Seagirt Blvd,Queens,,,,,,,,,,,,,,,,Not assigned,,,
20-33,Seagirt Blvd,Queens,,,,,,,,,,,,,,,,Not assigned,,,
20-50,Seagirt Blvd,Queens,,,,,,,,,,,,,,,,Not assigned,,,
20-57,Seagirt Blvd,Queens,,,,,,,,,,,,,,,,Not assigned,,,
1770,Grand concourse,Bronx,,,,,,,,,,,,,,,,Assigned,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1250,Ocean Parkway,Brooklyn,,,,,,,,,,,,,,,,Issued,Approved,,Initial Inpsection done.
1889,Sedgewick Avenue,Bronx,,,,,,,,,,,,,,,,,,,
1655,Undercliff Avenue,Bronx,,,,,,,,,,,,,,,,,,,
